"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"F7008T","Atom- och molekylfysik","50% Lp2 Luleå 4+5","28868-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q003gZ6y5Y955876Y76Y.json"
"P0064P","Att handleda i verksamhetsförlagd utbildning, VFU","25% Lp2-3 Luleå","23688-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q093gZ6y5Y955076Y76Y.json"
"U0065P","Att iscensätta lärande och bedöma kunskap","50% Lp1-2 Ortsoberoende","14047-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q083gZ6y5Y955276Y76Y.json"
"U0049P","Att iscensätta lärande och utveckla professionellt förhållningssätt","50% Lp3-4 Luleå","33230-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q003gZ6y5Y355176Y76Y.json"
"S0036N","Att jämföra politiska system","50% Lp4 Luleå 3+4+5","40371-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q093gZ6y5Y355176Y76Y.json"
"T0019G","Audiovisuellt skapande","50% Lp1-2 Piteå","10872-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q023gZ6y5Y855576Y76Y.json"
"T0023T","Automatisering","50% Lp4 Luleå 2+5","48848-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q013gZ6y5Y355976Y76Y.json"
"W0026E","Avancerad 3D grafik","50% Lp1 Skellefteå","17266-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q083gZ6y5Y855376Y76Y.json"
"T7015T","Avancerad bearbetning och CyberLab","50% Lp3 Luleå 1+2","38965-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q033gZ6y5Y255276Y76Y.json"
"T7022B","Avancerad bergmekanik","50% Lp3 Luleå 1+2","35089-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q083gZ6y5Y355276Y76Y.json"
"D7043E","Avancerad Data Mining","50% Lp1 Ortsoberoende 2+4","17054-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y855276Y76Y.json"
"D7043E","Avancerad Data Mining","50% Lp1 Luleå 2+4","17304-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y855176Y76Y.json"
"D7043E","Avancerad Data Mining","50% Lp1 Ortsoberoende 2+4","17333-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q043gZ6y5Y855476Y76Y.json"
"M7011T","Avancerad datorstödd konstruktion","50% Lp2 Luleå 4+5","28854-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q003gZ6y5Y955076Y76Y.json"
"M7011T","Avancerad datorstödd konstruktion","50% Lp4 Luleå 4+5","48030-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q043gZ6y5Y355976Y76Y.json"
"D7047E","Avancerad djupinlärning","50% Lp4 Ortsoberoende","47007-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y355176Y76Y.json"
"D7047E","Avancerad djupinlärning","50% Lp4 Luleå 2+3","47525-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y355976Y76Y.json"
"F7021T","Avancerad experimentell teknik","50% Lp4 Luleå 3+6","48867-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q023gZ6y5Y355276Y76Y.json"
"D7008A","Avancerad grafisk formgivning och datorgrafik","50% Lp4 Luleå 1+2+3","40418-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q023gZ6y5Y355676Y76Y.json"
"T7009K","Avancerad kemisk reaktionsteknik","50% Lp2 Luleå 4+5","25843-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q083gZ6y5Y955876Y76Y.json"
"J7001N","Avancerad miljörätt","50% Lp1-2 Luleå","10845-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q013gZ6y5Y855476Y76Y.json"
"D7011A","Avancerad modellbyggnad","50% Lp4 Luleå 3+6","40423-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q023gZ6y5Y355876Y76Y.json"
"D7011A","Avancerad modellbyggnad","50% Lp4 Luleå 3+6","40440-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q033gZ6y5Y355376Y76Y.json"
"D7010A","Avancerad modellering","50% Lp3 Luleå 2+3","30671-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q053gZ6y5Y355076Y76Y.json"
"D7006A","Avancerad produktdesign","50% Lp1-2 Luleå 3+5/1+2+5","10808-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y855776Y76Y.json"
"A7005A","Avancerad produktionsdesign","50% Lp1-2 Luleå","10790-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q013gZ6y5Y855776Y76Y.json"
"T7022T","Avancerad produktionsledning","50% Lp1 Luleå 1+2","18331-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q093gZ6y5Y855576Y76Y.json"
"M7034T","Avancerad Projektkurs i Tribologi","50% Lp1-2 Luleå","18066-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q063gZ6y5Y955876Y76Y.json"
"O7008N","Avancerad projektledning","50% Lp2 Luleå 1+3","20269-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q013gZ6y5Y955476Y76Y.json"
"O7014N","Avancerad projektledning","50% Lp4 Luleå 2+4","40419-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q023gZ6y5Y355376Y76Y.json"
"F7019R","Avancerad strålningstransfer","50% Lp1 Kiruna","17338-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q043gZ6y5Y855576Y76Y.json"
"H7008N","Avancerad teori och metod för historisk forskning","50% Lp3 Ortsoberoende","30176-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q083gZ6y5Y355576Y76Y.json"
"D7012B","Avancerad tillförlitlighetsteknik","50% Lp2 Luleå 1+4","25877-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q093gZ6y5Y955676Y76Y.json"
"I0002E","Avancerad tjänstedesign","50% Lp3-4 Ortsoberoende","37000-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q043gZ6y5Y255876Y76Y.json"
"I0002E","Avancerad tjänstedesign","50% Lp3-4 Luleå","37757-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q043gZ6y5Y255776Y76Y.json"
"O0107H","Avancerad vård och omvårdnad vid komplexa behov","100% Lp2 Luleå","23645-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q013gZ6y5Y955076Y76Y.json"
"O0107H","Avancerad vård och omvårdnad vid komplexa behov","100% Lp4 Luleå","43520-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q023gZ6y5Y355576Y76Y.json"
"D7067E","Avancerade datastrukturer","50% Lp1 Luleå 3+4","17293-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q083gZ6y5Y855676Y76Y.json"
"W0016E","Avancerade datornätverk","50% Lp4-1 Skellefteå","47438-V22.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ790Z50Qv7Q003gZ6y5Y455676Y76Y.json"
"W0016E","Avancerade datornätverk","50% Lp4-1 Skellefteå","47529-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q023gZ6y5Y355876Y76Y.json"
"M7018T","Avancerade maskinelement","50% Lp1 Luleå 4+5","18288-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q093gZ6y5Y855076Y76Y.json"
"R7014E","Avancerade reglersystem","50% Lp3 Luleå 2+5","37763-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q043gZ6y5Y255476Y76Y.json"
"D7030E","Avancerade trådlösa nätverk","50% Lp1 Skellefteå","17045-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q083gZ6y5Y855176Y76Y.json"
"D7030E","Avancerade trådlösa nätverk","50% Lp1 Luleå 1+5","17281-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q083gZ6y5Y855976Y76Y.json"
"A0013B","Avfallsteknik","50% Lp3 Luleå 5+6","35515-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q053gZ6y5Y355476Y76Y.json"
"R7025R","Ban- och attityddynamik","50% Lp1 Kiruna","17277-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q083gZ6y5Y855076Y76Y.json"
"S7013P","Barn och elever med särskild begåvning","25% Lp1-2 Ortsoberoende","14053-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q043gZ6y5Y855376Y76Y.json"
"S7013P","Barn och elever med särskild begåvning","25% Lp3-4 Ortsoberoende","33279-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q063gZ6y5Y355876Y76Y.json"
"P0051P","Bedömning, betygsättning, utveckling, utvärdering och verksamhetsförlagd utbildning","100% Lp3-4 Ortsoberoende","33001-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q093gZ6y5Y355476Y76Y.json"
"T0013B","Berganläggningsteknik","50% Lp4 Luleå 2+6","45008-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q013gZ6y5Y355976Y76Y.json"
"T7001B","Bergmekanikens grunder","50% Lp1 Luleå 1+6","15660-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q033gZ6y5Y855876Y76Y.json"
"F7051T","Beräkningsmetoder för nanomaterial","50% Lp1 Luleå 2+4","18295-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q093gZ6y5Y855276Y76Y.json"
"R7027R","Beräkningsmetoder och ingenjörsverktyg","50% Lp4 Kiruna","47505-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q093gZ6y5Y355676Y76Y.json"
"W7012T","Beräkningsprojekt, träkonstruktion","50% Lp3 Ortsoberoende","38011-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q063gZ6y5Y355976Y76Y.json"
"J0011N","Beskattningsrätt","100% Lp2 Luleå","20281-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q093gZ6y5Y955276Y76Y.json"
"J0011N","Beskattningsrätt","100% Lp3 Luleå","30179-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q083gZ6y5Y355576Y76Y.json"
"J0011N","Beskattningsrätt","100% Lp3 Luleå","30696-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q063gZ6y5Y355776Y76Y.json"
"S0086H","Beteendevetenskap med inriktning fysioterapi I","25% Lp1-2 Luleå","14027-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q033gZ6y5Y855176Y76Y.json"
"S0086H","Beteendevetenskap med inriktning fysioterapi I","25% Lp3-4 Luleå","33197-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q043gZ6y5Y255276Y76Y.json"
"S0088H","Beteendevetenskap med inriktning fysioterapi II","50% Lp2 Luleå","23671-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q083gZ6y5Y955376Y76Y.json"
"S0088H","Beteendevetenskap med inriktning fysioterapi II","50% Lp4 Luleå","43510-V24.1","Grupp 1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q013gZ6y5Y755176Y76Y.json"
"S0088H","Beteendevetenskap med inriktning fysioterapi II","50% Lp4 Luleå","43510-V24.2","Grupp 2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q013gZ6y5Y755276Y76Y.json"
"S0088H","Beteendevetenskap med inriktning fysioterapi II","50% Lp4 Luleå","43510-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q013gZ6y5Y355376Y76Y.json"
"K7002B","Betongkonstruktioner","50% Lp3 Luleå","35519-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q063gZ6y5Y355376Y76Y.json"
"K7009B","Betongteknik - Tillverkning och arbetsutförande","50% Lp3 Luleå 1+6","35027-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q083gZ6y5Y355776Y76Y.json"
"K0004B","Betongteknik","50% Lp3 Luleå 1+6","35512-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q053gZ6y5Y355676Y76Y.json"
"R7011R","Bildbehandling med rymdtillämpningar","50% Lp2 Kiruna","27676-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q043gZ6y5Y855976Y76Y.json"
"M0014T","Bilens system 1","50% Lp3 Luleå 2+5","38997-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q053gZ6y5Y355976Y76Y.json"
"E0009E","Bilens system 2","50% Lp1 Luleå 2+6","17316-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q093gZ6y5Y855576Y76Y.json"
"W0009B","BIM för visualisering och VR","50% Lp3 Luleå 4+6","35501-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q003gZ6y5Y355476Y76Y.json"
"T7017T","Biokompositer","50% Lp3 Luleå 1+3","38966-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q033gZ6y5Y255376Y76Y.json"
"P0066A","Biologisk psykologi","50% Lp2 Luleå 2+5+6","23628-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y955776Y76Y.json"
"B7003K","Bioprocessteknik","50% Lp1 Luleå 2+3","15611-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q033gZ6y5Y855576Y76Y.json"
"R7017E","Biorobotik","50% Lp3 Luleå 1+4","37772-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q003gZ6y5Y355876Y76Y.json"
"D0126G","Blåsinstrument 1, jazz- och rockinriktning","25% Lp1-2 Piteå","10904-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q073gZ6y5Y955176Y76Y.json"
"D0126G","Blåsinstrument 1, jazz- och rockinriktning","25% Lp1-2 Piteå","10905-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q053gZ6y5Y955776Y76Y.json"
"D0126G","Blåsinstrument 1, jazz- och rockinriktning","25% Lp3-4 Piteå","30701-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q073gZ6y5Y355076Y76Y.json"
"D0127G","Blåsinstrument 2, jazz- och rockinriktning","25% Lp1-2 Piteå","10173-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q053gZ6y5Y955876Y76Y.json"
"D0127G","Blåsinstrument 2, jazz- och rockinriktning","25% Lp1-2 Piteå","10906-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q073gZ6y5Y955276Y76Y.json"
"D0127G","Blåsinstrument 2, jazz- och rockinriktning","25% Lp3-4 Piteå","30067-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q073gZ6y5Y355576Y76Y.json"
"D0134G","Blåsinstrument 3, jazz- och rockinriktning","25% Lp1-2 Piteå","10174-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q053gZ6y5Y955976Y76Y.json"
"D0134G","Blåsinstrument 3, jazz- och rockinriktning","25% Lp1-2 Piteå","10907-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q073gZ6y5Y955676Y76Y.json"
"D0134G","Blåsinstrument 3, jazz- och rockinriktning","25% Lp3-4 Piteå","30073-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q073gZ6y5Y355676Y76Y.json"
"D0142G","Blåsinstrument 4, jazz- och rockinriktning","25% Lp1-2 Piteå","10908-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q073gZ6y5Y955276Y76Y.json"
"D0142G","Blåsinstrument 4, jazz- och rockinriktning","25% Lp3-4 Piteå","30079-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q073gZ6y5Y355276Y76Y.json"
"E7009N","Bolagsstyrning","50% Lp1 Luleå 2+6","10807-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y855676Y76Y.json"
"S0003B","Branddynamik I","50% Lp1 Luleå 3+6","15661-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q033gZ6y5Y855976Y76Y.json"
"S7002B","Branddynamik II","50% Lp2 Luleå 2+3+5+6","25881-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q093gZ6y5Y955176Y76Y.json"
"S7014B","Branddynamik","50% Lp1 Luleå","15635-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q033gZ6y5Y855876Y76Y.json"
"S0011B","Brandfysik","50% Lp3 Luleå 2+4+5+6","35088-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q093gZ6y5Y355176Y76Y.json"
"S7015B","Brandmodellering","50% Lp1 Luleå","15630-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q033gZ6y5Y855476Y76Y.json"
"S0006B","Brandtekniska beräkningar","50% Lp1 Luleå 1+5+6","15628-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q033gZ6y5Y855276Y76Y.json"
"S0006B","Brandtekniska beräkningar","50% Lp2 Luleå 1+6","25880-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q093gZ6y5Y955976Y76Y.json"
"S7013B","Brandutsatta konstruktioner","100% Lp2 Luleå 1+2+3+6","25856-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y955276Y76Y.json"
"F0184G","Brassinstrument 1, klassisk inriktning","25% Lp1-2 Piteå","10175-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q073gZ6y5Y955976Y76Y.json"
"F0184G","Brassinstrument 1, klassisk inriktning","25% Lp1-2 Piteå","10176-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q053gZ6y5Y955176Y76Y.json"
"F0184G","Brassinstrument 1, klassisk inriktning","25% Lp3-4 Piteå","30119-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q073gZ6y5Y355776Y76Y.json"
"F0185G","Brassinstrument 2, klassisk inriktning","25% Lp1-2 Piteå","10177-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q073gZ6y5Y955176Y76Y.json"
"F0185G","Brassinstrument 2, klassisk inriktning","25% Lp1-2 Piteå","10178-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q053gZ6y5Y955276Y76Y.json"
"F0185G","Brassinstrument 2, klassisk inriktning","25% Lp3-4 Piteå","30120-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q073gZ6y5Y355876Y76Y.json"
"F0211G","Brassinstrument 3, klassisk inriktning","25% Lp1-2 Piteå","10179-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q083gZ6y5Y955076Y76Y.json"
"F0211G","Brassinstrument 3, klassisk inriktning","25% Lp1-2 Piteå","10180-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q053gZ6y5Y955376Y76Y.json"
"F0211G","Brassinstrument 3, klassisk inriktning","25% Lp3-4 Piteå","30135-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q073gZ6y5Y355476Y76Y.json"
"F0221G","Brassinstrument 4, klassisk inriktning","25% Lp1-2 Piteå","10909-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q083gZ6y5Y955176Y76Y.json"
"F0221G","Brassinstrument 4, klassisk inriktning","25% Lp3-4 Piteå","30142-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q073gZ6y5Y355176Y76Y.json"
"K7005B","Broprojektering","50% Lp1 Luleå 5","15634-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q033gZ6y5Y855776Y76Y.json"
"M7012T","Brottmekanik och utmattning","50% Lp4 Luleå 1+5","48873-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q033gZ6y5Y355276Y76Y.json"
"U0050G","Bruksinstrument med sång","50% Lp1 Piteå","10804-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q013gZ6y5Y855476Y76Y.json"
"D0175G","Brukspiano 1","25% Lp1-2 Ortsoberoende","10181-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q073gZ6y5Y955476Y76Y.json"
"D0175G","Brukspiano 1","25% Lp1-2 Piteå","10182-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q053gZ6y5Y955476Y76Y.json"
"D0175G","Brukspiano 1","25% Lp1-2 Piteå","10910-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q073gZ6y5Y955376Y76Y.json"
"D0175G","Brukspiano 1","25% Lp3-4 Piteå","30080-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q073gZ6y5Y355776Y76Y.json"
"D0175G","Brukspiano 1","25% Lp3-4 Ortsoberoende","30081-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q073gZ6y5Y355876Y76Y.json"
"D0177G","Brukspiano 2","25% Lp1-2 Piteå","10183-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q073gZ6y5Y955776Y76Y.json"
"D0177G","Brukspiano 2","25% Lp1-2 Piteå","10184-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q053gZ6y5Y955076Y76Y.json"
"D0177G","Brukspiano 2","25% Lp1-2 Ortsoberoende","10912-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q073gZ6y5Y955676Y76Y.json"
"D0177G","Brukspiano 2","25% Lp3-4 Piteå","30083-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q073gZ6y5Y355276Y76Y.json"
"D0177G","Brukspiano 2","25% Lp3-4 Ortsoberoende","30084-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q073gZ6y5Y355376Y76Y.json"
"D0184G","Brukspiano 3","25% Lp1-2 Piteå","10185-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q053gZ6y5Y955576Y76Y.json"
"D0184G","Brukspiano 3","25% Lp1-2 Piteå","10913-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q073gZ6y5Y955476Y76Y.json"
"D0184G","Brukspiano 3","25% Lp3-4 Piteå","30703-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q073gZ6y5Y355876Y76Y.json"
"T7008B","Brytningsmetoder","50% Lp1 Luleå 2+5","15629-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q033gZ6y5Y855376Y76Y.json"
"W0016T","Bränslen och förbränningsteknik","50% Lp2 Skellefteå","28828-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q003gZ6y5Y955776Y76Y.json"
"F7034T","Bränslen","50% Lp3 Luleå 3+4","38988-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q053gZ6y5Y355176Y76Y.json"
"F7010T","Bränslen, förbrännings- och förgasningsteknik","50% Lp2 Luleå 1+3","28820-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q003gZ6y5Y955176Y76Y.json"
"D7044E","Business Intelligence","50% Lp1 Ortsoberoende","17053-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y855976Y76Y.json"
"D7044E","Business Intelligence","50% Lp1 Luleå","17303-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y855876Y76Y.json"
"D7044E","Business Intelligence","50% Lp1 Ortsoberoende","17334-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q043gZ6y5Y855376Y76Y.json"
"Y0010B","Bygg och anläggning VFU","100% Lp1 Luleå","15638-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q033gZ6y5Y855276Y76Y.json"
"P0001B","Bygg- och anläggningsproduktion","50% Lp4 Luleå 2+5","45003-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q093gZ6y5Y355276Y76Y.json"
"P0009B","Bygg- och anläggningsprojektering","50% Lp2 Luleå 2+5","25860-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q093gZ6y5Y955576Y76Y.json"
"P7008B","Byggföretagets organisation och affärsutveckling","50% Lp2 Luleå 3+5","25855-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y955176Y76Y.json"
