"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"M0098H","Anatomi och fysiologi I inriktning radiografi","50% Lp3 Luleå","33224-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q003gZ6y5Y355376Y76Y.json"
"M0023H","Anatomi och fysiologi med inriktning mot hälsovägledning","50% Lp1 Luleå","14010-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q023gZ6y5Y855476Y76Y.json"
"M0121H","Anatomi och fysiologi","50% Lp1 Luleå","14041-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q043gZ6y5Y855776Y76Y.json"
"H0056N","Andra världskriget i Norden","50% Lp2 Ortsoberoende","20023-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y955176Y76Y.json"
"O7075H","Anestesisjukvård, Verksamhetsförlagd utbildning I","50% Lp2 Luleå","23668-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q083gZ6y5Y955976Y76Y.json"
"O7076H","Anestesisjukvård, Verksamhetsförlagd utbildning II","50% Lp3 Luleå","33273-V24.1","Grupp 1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q033gZ6y5Y455076Y76Y.json"
"O7076H","Anestesisjukvård, Verksamhetsförlagd utbildning II","50% Lp3 Luleå","33273-V24.2","Grupp 2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q033gZ6y5Y455576Y76Y.json"
"O7076H","Anestesisjukvård, Verksamhetsförlagd utbildning II","50% Lp3 Luleå","33273-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q083gZ6y5Y355276Y76Y.json"
"O7077H","Anestesisjukvård, Verksamhetsförlagd utbildning III","50% Lp4 Luleå","43556-V24.1","Grupp 1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q013gZ6y5Y755176Y76Y.json"
"O7077H","Anestesisjukvård, Verksamhetsförlagd utbildning III","50% Lp4 Luleå","43556-V24.2","Grupp 2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q013gZ6y5Y755876Y76Y.json"
"O7077H","Anestesisjukvård, Verksamhetsförlagd utbildning III","50% Lp4 Luleå","43556-V24.3","Grupp 3","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q013gZ6y5Y755976Y76Y.json"
"O7077H","Anestesisjukvård, Verksamhetsförlagd utbildning III","50% Lp4 Luleå","43556-V24.4","Grupp 4","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q013gZ6y5Y755776Y76Y.json"
"O7077H","Anestesisjukvård, Verksamhetsförlagd utbildning III","50% Lp4 Luleå","43556-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q033gZ6y5Y355676Y76Y.json"
"W0020E","Animation och riggning","50% Lp3 Skellefteå","37775-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q043gZ6y5Y255776Y76Y.json"
"U0052P","Anpassat lärande och kritiska perspektiv","50% Lp1-2 Luleå","14035-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q033gZ6y5Y855876Y76Y.json"
"D0031A","Användargränssnitt: design och teknik","50% Lp4 Luleå 2+4","40391-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q013gZ6y5Y355376Y76Y.json"
"D0046A","Användbarhet och användarupplevelse","50% Lp3 Luleå 2+4","30598-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q043gZ6y5Y255676Y76Y.json"
"D7019A","Användbarhet","50% Lp4 Luleå 1+6","40405-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q023gZ6y5Y355676Y76Y.json"
"D7019A","Användbarhet","50% Lp4 Luleå 1+6","40441-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q033gZ6y5Y355476Y76Y.json"
"P0053A","Arbets- och motivationspsykologi","50% Lp3 Luleå 1+3","33167-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q033gZ6y5Y255776Y76Y.json"
"S0068A","Arbetsliv och hälsa","50% Lp2 Luleå 2+6","20250-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q013gZ6y5Y955876Y76Y.json"
"S0007F","Arbetslivsförlagt lärande","100% Lp4 Piteå","40374-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q013gZ6y5Y355776Y76Y.json"
"A0019A","Arbetsmiljö och organisation","50% Lp1 Ortsoberoende","10903-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q043gZ6y5Y855676Y76Y.json"
"M0021H","Arbetsmiljö och stress","50% Lp2 Luleå","23649-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q083gZ6y5Y955376Y76Y.json"
"U0020N","Arbetsmiljöarbete  ","Uppdragsutbildning","00597-H23.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q053gZ6y5Y255976Y76Y.json"
"A0004A","Arbetsmiljöledning","50% Lp1 Luleå 3+4","10779-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q013gZ6y5Y855076Y76Y.json"
"A7012A","Arbetsplatsanalys","50% Lp3 Luleå 1+5","30587-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q043gZ6y5Y255876Y76Y.json"
"P0005H","Arbetspsykologi","50% Lp2 Ortsoberoende","23696-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q093gZ6y5Y955276Y76Y.json"
"J0009N","Arbetsrätt","100% Lp2 Luleå","20236-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q013gZ6y5Y955076Y76Y.json"
"J0026N","Arbetsrätt","50% Lp2 Luleå","20237-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q013gZ6y5Y955576Y76Y.json"
"A7023H","Arbetsterapi: Design och tillämpning av kvalitativ metod","50% Lp3 Luleå","33218-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q003gZ6y5Y355576Y76Y.json"
"A7025H","Arbetsterapi: Digitala utmaningar och möjligheter i hälso- och sjukvård","50% Lp1 Luleå","14008-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q023gZ6y5Y855276Y76Y.json"
"A0052H","Arbetsterapi: Evidens och utveckling för professionen och ämnet","100% Lp2 Luleå","23633-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y955376Y76Y.json"
